# Seeded User Credentials
# Format: Role | Username | Password | Full Name | Company
# -------------------------------------------------------------------------
Owner           | spilq8          | password123     | Leo Kamryn               | Deckow, Bernhard and Parisian
Field Manager   | 6hsdw           | password123     | Adalberto Marcelino            | Deckow, Bernhard and Parisian
Field Manager   | 3hn_0m5ct_1s    | password123     | Fiona Filiberto            | Deckow, Bernhard and Parisian
Engineer        | 244z0f87af3lm   | password123     | Charlene Rosendo              | Deckow, Bernhard and Parisian
Engineer        | 01sr_ot_fr8cmj  | password123     | Favian Jackeline            | Deckow, Bernhard and Parisian
Engineer        | nj7bw           | password123     | Brody Ruthe                | Deckow, Bernhard and Parisian
Engineer        | ciycwyp6z_dcl   | password123     | Enoch Russ                 | Deckow, Bernhard and Parisian
Engineer        | yj4vapmq2f      | password123     | Jalon Cassidy              | Deckow, Bernhard and Parisian
Owner           | 60q3za8vc7_5n   | password123     | Horace Sadye                | Ratke Group
Field Manager   | s0p7mrwstcj7    | password123     | Alessia Mozelle              | Ratke Group
Field Manager   | m4sgd           | password123     | Madison Jacklyn              | Ratke Group
Engineer        | 7qg2jfngkjoyys  | password123     | Mable Andre                | Ratke Group
Engineer        | v6_n3adp0baoz10 | password123     | Will Leatha               | Ratke Group
Engineer        | ryh9ekg0rjp0t   | password123     | Kelvin Salvatore            | Ratke Group
Engineer        | 7wt5h           | password123     | Manuela Wilson               | Ratke Group
Engineer        | he5tcrcxadnl    | password123     | Donato Jamir                | Ratke Group
Owner           | ozdukqtr        | password123     | Maryjane Britney              | Franecki Group
Field Manager   | 8f_pjgio3v973u  | password123     | Patrick Noe                  | Franecki Group
Field Manager   | dbssb11t        | password123     | Abagail Fredy                | Franecki Group
Engineer        | czkwgfq8enr     | password123     | Zaria Rusty                | Franecki Group
Engineer        | 3if4lc          | password123     | Vernie Dane                 | Franecki Group
Engineer        | 6w4y090czixdop  | password123     | Brenna Zora                 | Franecki Group
Engineer        | j_7pfhauqmse7   | password123     | Marian Colin                | Franecki Group
Engineer        | fo59o0lagk_cc   | password123     | Katrine Bernie               | Franecki Group
